Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000005	1.080799	1.335590	73.981000	67.812000	
0.000005	1.083325	1.296004	73.996000	68.640000	
0.000005	1.083145	1.368199	74.032000	67.346000	
0.000005	1.078657	1.342431	73.957000	67.808000	
0.000005	1.084709	1.272374	73.849000	69.138000	
0.000005	1.066363	1.400492	74.304000	66.382000	
0.000005	1.075691	1.341118	73.973000	67.796000	
0.000005	1.083568	1.344797	74.068000	67.554000	
0.000005	1.076941	1.340717	73.967000	67.770000	
0.000005	1.075359	1.244732	73.982000	69.688000	
0.000005	1.075657	1.212296	73.954000	70.418000	
0.000005	1.075301	1.229281	74.097000	70.158000	
0.000005	1.067395	1.218673	74.140000	70.378000	
0.000005	1.064953	1.219332	74.297000	70.422000	
0.000005	1.066376	1.222772	74.271000	70.388000	
0.000005	1.069499	1.227536	74.047000	70.300000	
0.000005	1.067094	1.248133	74.230000	69.772000	
0.000005	1.064999	1.229851	74.316000	70.196000	
0.000005	1.068058	1.237485	74.138000	70.082000	
0.000005	1.067687	1.237443	74.429000	70.084000	
0.000005	1.064784	1.212043	74.200000	70.564000	
0.000005	1.057372	1.206523	74.421000	70.598000	
0.000005	1.067530	1.213482	74.289000	70.540000	
0.000005	1.071937	1.206384	74.109000	70.762000	
0.000005	1.060689	1.202076	74.413000	70.722000	
0.000005	1.061578	1.207937	74.372000	70.604000	
0.000005	1.063125	1.196568	74.447000	70.838000	
0.000005	1.061195	1.203591	74.480000	70.864000	
0.000005	1.063457	1.198971	74.307000	70.848000	
0.000005	1.060065	1.202389	74.418000	70.718000	
0.000004	1.059930	1.201979	74.411000	70.832000	
0.000004	1.065035	1.206223	74.221000	70.498000	
0.000004	1.057366	1.208138	74.390000	70.762000	
0.000004	1.049838	1.220110	74.586000	70.356000	
0.000004	1.051064	1.206435	74.508000	70.716000	
0.000004	1.054702	1.202253	74.319000	70.722000	
0.000004	1.054098	1.211393	74.458000	70.518000	
0.000004	1.055637	1.203919	74.485000	70.724000	
0.000004	1.055962	1.207891	74.438000	70.666000	
0.000004	1.058927	1.212845	74.469000	70.590000	
0.000004	1.061118	1.210792	74.344000	70.574000	
0.000004	1.058859	1.205396	74.409000	70.614000	
0.000004	1.052038	1.210642	74.559000	70.494000	
0.000004	1.057197	1.207748	74.395000	70.602000	
0.000004	1.047992	1.201805	74.709000	70.852000	
