Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000005	1.095783	1.290467	73.566324	68.612000	
0.000005	1.086128	1.268884	73.792510	69.134000	
0.000005	1.098605	1.236011	73.818531	69.802000	
0.000005	1.086414	1.253154	73.812526	69.446000	
0.000005	1.084481	1.284516	74.026702	68.850000	
0.000005	1.079897	1.244591	74.074741	69.584000	
0.000005	1.069997	1.294201	74.024700	68.660000	
0.000005	1.076134	1.291449	74.014692	68.710000	
0.000005	1.068034	1.238405	74.252887	69.804000	
0.000005	1.071827	1.281565	73.998679	68.910000	
0.000005	1.076467	1.339382	74.178827	67.706000	
0.000005	1.070209	1.237665	74.046718	69.980000	
0.000005	1.076684	1.293417	74.018695	68.626000	
0.000005	1.070521	1.218187	74.110771	70.230000	
0.000005	1.069354	1.296355	74.200845	68.570000	
0.000005	1.076063	1.250632	74.084749	69.648000	
0.000005	1.065497	1.238156	74.334955	69.932000	
0.000005	1.068434	1.225367	74.344963	70.092000	
0.000005	1.077253	1.253002	74.008687	69.468000	
0.000005	1.070867	1.238958	74.062731	69.922000	
0.000005	1.075191	1.205449	73.992674	70.600000	
0.000005	1.061115	1.210966	74.306932	70.508000	
0.000005	1.062475	1.217397	74.338958	70.398000	
0.000005	1.068265	1.215668	74.212855	70.412000	
0.000005	1.062180	1.209016	74.246882	70.680000	
0.000005	1.064329	1.212907	74.264897	70.498000	
0.000005	1.070322	1.208036	74.202846	70.664000	
0.000005	1.064138	1.209297	74.096759	70.584000	
0.000005	1.066473	1.211194	74.000681	70.488000	
0.000005	1.049756	1.208589	74.563142	70.436000	
0.000004	1.066456	1.210301	74.242879	70.488000	
0.000004	1.061844	1.212411	74.292920	70.600000	
0.000004	1.052469	1.206186	74.653216	70.638000	
0.000004	1.056523	1.205393	74.443043	70.682000	
0.000004	1.059883	1.210903	74.240878	70.598000	
0.000004	1.055363	1.209178	74.467063	70.648000	
0.000004	1.051720	1.213185	74.729278	70.504000	
0.000004	1.053393	1.215017	74.551132	70.436000	
0.000004	1.052105	1.216204	74.647211	70.586000	
0.000004	1.049454	1.214085	74.645209	70.416000	
0.000004	1.042849	1.215635	74.843372	70.398000	
0.000004	1.053220	1.215512	74.557137	70.490000	
0.000004	1.063147	1.224653	74.415020	70.242000	
0.000004	1.051328	1.211442	74.715267	70.596000	
0.000004	1.042407	1.216789	74.787326	70.518000	
0.000004	1.047203	1.216327	74.919434	70.490000	
0.000004	1.040943	1.212186	74.759303	70.628000	
0.000004	1.047138	1.219870	74.691247	70.344000	
0.000004	1.051468	1.210641	74.465061	70.506000	
0.000004	1.048046	1.213374	74.577153	70.516000	
0.000004	1.048423	1.209172	74.703257	70.622000	
0.000004	1.042529	1.205337	74.857383	70.700000	
0.000004	1.054615	1.217908	74.535119	70.554000	
0.000004	1.053995	1.201713	74.549130	70.740000	
0.000004	1.061337	1.202595	74.210853	70.762000	
0.000003	1.046097	1.195433	74.603175	70.832000	
0.000003	1.040305	1.204403	74.683240	70.716000	
0.000003	1.051523	1.197239	74.629196	70.842000	
0.000003	1.042556	1.203909	74.707260	70.664000	
0.000003	1.049517	1.207253	74.663224	70.724000	
0.000003	1.026345	1.203140	75.013511	70.782000	
0.000003	1.039256	1.204946	74.943454	70.746000	
0.000003	1.038307	1.201087	74.949459	70.834000	
0.000003	1.044673	1.201679	74.599171	70.710000	
0.000003	1.042857	1.206606	74.819352	70.850000	
0.000003	1.046032	1.195844	74.681239	70.950000	
0.000003	1.041046	1.202631	74.759303	70.864000	
0.000003	1.041961	1.201887	74.787326	70.826000	
0.000003	1.034438	1.198463	75.049541	70.842000	
0.000003	1.042590	1.210537	74.625193	70.696000	
0.000003	1.037732	1.204524	75.027523	70.772000	
0.000003	1.029904	1.202829	74.903421	70.796000	
0.000003	1.038710	1.201731	74.819352	70.860000	
0.000003	1.042003	1.199384	74.653216	70.916000	
0.000003	1.027222	1.199715	74.893413	70.926000	
0.000002	1.035901	1.209970	74.945455	70.744000	
0.000002	1.022658	1.204342	75.117596	70.844000	
0.000002	1.038823	1.202271	74.657219	70.784000	
0.000002	1.035911	1.201648	74.691247	70.782000	
0.000002	1.040126	1.202691	74.777317	70.824000	
0.000002	1.031835	1.198544	74.955463	70.774000	
0.000002	1.035760	1.202711	74.929442	70.784000	
0.000002	1.026855	1.201233	75.081567	70.852000	
0.000002	1.044188	1.200150	74.885406	70.858000	
0.000002	1.030693	1.200901	74.873396	70.884000	
0.000002	1.021003	1.200094	75.451871	70.816000	
0.000002	1.031655	1.200820	75.127605	70.844000	
0.000002	1.038564	1.201031	75.047539	70.826000	
0.000002	1.033102	1.202663	74.813347	70.690000	
0.000002	1.030491	1.204171	74.933445	70.760000	
0.000002	1.036108	1.200016	74.885406	70.802000	
0.000002	1.033588	1.203705	75.029524	70.776000	
0.000002	1.023558	1.198420	75.253708	70.792000	
0.000002	1.022606	1.205232	75.055546	70.662000	
0.000001	1.021559	1.200540	75.195660	70.860000	
0.000001	1.020775	1.202467	75.235693	70.790000	
0.000001	1.024218	1.202885	75.085570	70.886000	
0.000001	1.027858	1.200518	75.077564	70.788000	
0.000001	1.022312	1.201525	75.279729	70.794000	
0.000001	1.030060	1.200505	75.097580	70.746000	
0.000001	1.033935	1.192041	74.929442	70.916000	
0.000001	1.028178	1.196308	75.163634	71.016000	
0.000001	1.034969	1.192365	75.019516	71.078000	
0.000001	1.030427	1.194387	74.829360	71.022000	
0.000001	1.032034	1.193297	74.753298	71.120000	
0.000001	1.041186	1.191446	74.909426	70.976000	
0.000001	1.028493	1.192403	75.141616	71.066000	
0.000001	1.027866	1.192547	74.963470	71.042000	
0.000001	1.037893	1.192502	74.763306	71.068000	
0.000001	1.027793	1.192591	75.045537	71.032000	
0.000001	1.030174	1.192819	74.931444	71.050000	
