Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000005	1.091331	1.330799	73.767000	67.954000	
0.000005	1.083233	1.274773	73.775000	68.990000	
0.000005	1.085819	1.342437	73.961000	67.568000	
0.000005	1.085102	1.239258	73.957000	69.668000	
0.000005	1.085626	1.330906	73.904000	67.784000	
0.000005	1.083377	1.348385	73.992000	67.622000	
0.000005	1.079941	1.251251	74.032000	69.522000	
0.000005	1.081004	1.231775	73.990000	69.924000	
0.000005	1.0`78932	1.367279	74.061000	67.254000	
0.000005	1.076566	1.256291	74.007000	69.422000	
0.000005	1.078487	1.298252	74.063000	68.634000	
0.000005	1.078794	1.244178	74.054000	69.740000	
0.000005	1.071674	1.254958	74.088000	69.594000	
0.000005	1.060581	1.352563	74.236000	67.612000	
0.000005	1.064882	1.222454	74.309000	70.358000	
0.000005	1.070414	1.225540	74.084000	70.092000	
0.000005	1.068297	1.228597	74.153000	70.154000	
0.000005	1.067961	1.227327	74.232000	70.198000	
0.000005	1.073211	1.226834	74.125000	70.048000	
0.000005	1.063318	1.226623	74.288000	70.290000	
0.000005	1.065244	1.204884	74.254000	70.580000	
0.000005	1.068255	1.219235	74.196000	70.516000	
0.000005	1.072106	1.207869	74.288000	70.676000	
0.000005	1.059684	1.210190	74.232000	70.726000	
0.000005	1.062641	1.206726	74.411000	70.782000	
0.000005	1.060869	1.208238	74.558000	70.658000	
0.000005	1.061783	1.213518	74.250000	70.640000	
0.000005	1.062303	1.202098	74.300000	70.714000	
0.000005	1.056217	1.206270	74.596000	70.774000	
0.000005	1.053220	1.214983	74.501000	70.620000	
0.000005	1.064740	1.216074	74.324000	70.666000	
0.000005	1.057784	1.214783	74.519000	70.524000	
0.000005	1.060098	1.219531	74.417000	70.618000	
0.000005	1.055921	1.209204	74.419000	70.668000	
0.000005	1.056834	1.209427	74.291000	70.666000	
0.000005	1.060381	1.205071	74.285000	70.604000	
0.000005	1.057748	1.221646	74.474000	70.404000	
0.000005	1.050588	1.202689	74.531000	70.616000	
0.000005	1.053449	1.210924	74.608000	70.488000	
0.000005	1.055767	1.208462	74.472000	70.586000	
0.000005	1.054569	1.202681	74.512000	70.870000	
0.000005	1.050967	1.207132	74.650000	70.708000	
0.000005	1.051590	1.209033	74.490000	70.530000	
0.000005	1.049889	1.211803	74.713000	70.660000	
0.000005	1.052128	1.209632	74.613000	70.638000	
0.000005	1.044733	1.214361	74.698000	70.496000	
0.000005	1.057082	1.209017	74.519000	70.774000	
