Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000050	1.154680	1.721293	72.417382	60.550000	
0.000050	1.131181	1.260612	72.685602	69.016000	
0.000050	1.117900	1.419188	73.027883	66.098000	
0.000050	1.115869	1.493660	73.234052	65.126000	
0.000050	1.105127	1.302020	73.516283	68.634000	
0.000050	1.105634	1.438707	73.506275	66.176000	
0.000050	1.086195	1.316514	73.704438	68.438000	
0.000050	1.064423	1.322999	74.296923	68.160000	
0.000050	1.072594	1.331110	74.090754	67.814000	
0.000049	1.054391	1.396587	74.190836	67.002000	
0.000049	1.057329	1.267149	74.310935	69.384000	
0.000049	1.055237	1.287895	74.547129	69.364000	
0.000049	1.057625	1.284531	74.465061	69.228000	
0.000049	1.047945	1.339168	74.423027	67.938000	
0.000049	1.040077	1.364568	74.641206	68.048000	
0.000049	1.037881	1.264820	74.745291	69.532000	
0.000048	1.025837	1.298818	75.169639	69.092000	
0.000048	1.025297	1.270197	75.107588	69.642000	
0.000048	1.034401	1.280811	75.073560	69.372000	
0.000048	1.028333	1.289637	74.985488	69.372000	
0.000048	1.025294	1.304147	74.875398	68.864000	
0.000047	1.028136	1.263732	75.043536	69.698000	
0.000047	1.016156	1.251686	75.489902	69.654000	
0.000047	1.010392	1.256942	75.437859	69.924000	
0.000047	1.007320	1.272938	75.527933	69.808000	
0.000046	1.001883	1.249574	75.399828	69.738000	
0.000046	0.990866	1.260758	75.652035	69.904000	
0.000046	1.010502	1.302310	75.469885	69.152000	
0.000046	0.978022	1.293678	76.052363	69.758000	
0.000045	0.981222	1.270650	76.046358	69.614000	
0.000045	1.000986	1.288492	75.597990	69.662000	
0.000045	0.989495	1.283310	75.818171	69.748000	
0.000044	0.976070	1.287741	76.098401	69.488000	
0.000044	0.982718	1.309858	75.982305	69.304000	
0.000044	0.967778	1.331857	76.522749	68.974000	
0.000043	0.978754	1.309180	76.306571	69.418000	
0.000043	0.979354	1.264334	76.140435	69.898000	
0.000042	0.965040	1.267883	76.486719	69.766000	
0.000042	0.971144	1.344666	76.324586	68.792000	
0.000042	0.968471	1.298997	76.628836	69.366000	
0.000041	0.962906	1.279845	76.704898	69.490000	
0.000041	0.954797	1.298912	76.668868	69.264000	
0.000041	0.944392	1.331815	76.849016	68.946000	
0.000040	0.958183	1.305521	76.590804	69.680000	
0.000040	0.949706	1.314075	76.732921	69.438000	
0.000039	0.954738	1.310502	76.857023	69.552000	
0.000039	0.942373	1.300741	76.965111	69.632000	
0.000038	0.934318	1.295160	77.321404	69.530000	
0.000038	0.934030	1.306138	77.421486	69.280000	
0.000038	0.932492	1.295580	77.081207	69.376000	
0.000037	0.936199	1.290432	77.165276	69.466000	
0.000037	0.931511	1.311509	77.083208	69.318000	
0.000036	0.923148	1.337910	77.479533	69.340000	
0.000036	0.934931	1.293527	77.251346	69.444000	
0.000035	0.926789	1.295309	77.287376	69.654000	
0.000035	0.916776	1.299190	77.641666	69.302000	
0.000034	0.920828	1.317709	77.609640	69.280000	
0.000034	0.916639	1.315726	77.637663	69.180000	
0.000033	0.908370	1.302002	77.827819	69.490000	
0.000033	0.916110	1.316383	77.665686	69.414000	
0.000032	0.917012	1.295248	77.701715	69.528000	
0.000032	0.914121	1.323248	77.827819	69.342000	
0.000031	0.918435	1.311730	77.579615	69.466000	
0.000031	0.905050	1.320538	77.927901	69.338000	
0.000030	0.905116	1.333032	78.011970	69.468000	
0.000030	0.903412	1.313081	78.009968	69.444000	
0.000029	0.895995	1.334633	78.212134	69.324000	
0.000029	0.896738	1.338258	78.118057	69.228000	
0.000028	0.906799	1.315458	78.019976	69.418000	
0.000028	0.900214	1.323545	78.206129	69.194000	
0.000027	0.895797	1.322182	78.296203	69.332000	
0.000027	0.889643	1.320145	78.258172	69.438000	
0.000026	0.893008	1.326308	78.154086	69.292000	
0.000026	0.895295	1.325346	78.092035	69.394000	
0.000025	0.885268	1.305472	78.430313	69.488000	
0.000024	0.889315	1.317172	78.384275	69.366000	
0.000024	0.888712	1.334882	78.298205	69.436000	
0.000023	0.891973	1.317660	78.360255	69.474000	
0.000023	0.879147	1.336649	78.444324	69.316000	
0.000022	0.883066	1.327684	78.156088	69.462000	
0.000022	0.877567	1.326931	78.652495	69.350000	
0.000021	0.875563	1.322626	78.602454	69.402000	
0.000021	0.882795	1.342379	78.520387	69.182000	
0.000020	0.886508	1.314568	78.422306	69.280000	
0.000020	0.874637	1.317545	78.836646	69.380000	
0.000019	0.872131	1.333854	78.638484	69.286000	
0.000019	0.887257	1.334476	78.394283	69.414000	
0.000018	0.868897	1.329095	78.802618	69.244000	
0.000018	0.866735	1.327781	78.906703	69.388000	
0.000017	0.872627	1.331375	78.768590	69.332000	
0.000017	0.874886	1.331016	78.596449	69.330000	
0.000016	0.862429	1.341758	78.744571	69.258000	
0.000016	0.858195	1.346170	78.862667	69.222000	
0.000015	0.874103	1.337646	78.674513	69.300000	
0.000015	0.871375	1.336620	78.820633	69.232000	
0.000014	0.861637	1.331564	78.938730	69.394000	
0.000014	0.860251	1.336827	78.938730	69.302000	
0.000013	0.866399	1.341535	78.870674	69.112000	
0.000013	0.859704	1.321596	78.964751	69.354000	
0.000013	0.862859	1.332118	78.932725	69.334000	
0.000012	0.856114	1.341143	79.022799	69.264000	
0.000012	0.865472	1.336688	78.866671	69.326000	
0.000011	0.857580	1.335305	79.202946	69.160000	
0.000011	0.855968	1.334763	79.182930	69.006000	
0.000010	0.866981	1.333093	78.772594	69.256000	
0.000010	0.866259	1.336683	78.630477	69.266000	
0.000009	0.858667	1.349842	79.066835	69.250000	
0.000009	0.852329	1.335984	79.248984	69.180000	
0.000009	0.857933	1.348412	79.004784	69.226000	
0.000008	0.858304	1.337104	79.138894	69.184000	
0.000008	0.848144	1.338128	79.335055	69.280000	
0.000008	0.850071	1.340557	79.351068	69.252000	
0.000007	0.853353	1.335910	79.269001	69.308000	
0.000007	0.851119	1.328613	79.411117	69.332000	
0.000006	0.850605	1.334809	79.543225	69.212000	
0.000006	0.859919	1.340489	79.110871	69.220000	
0.000006	0.858893	1.334966	79.128886	69.180000	
0.000005	0.854949	1.332218	79.092856	69.416000	
0.000005	0.847652	1.337018	79.377089	69.310000	
0.000005	0.854224	1.338230	79.192938	69.274000	
