Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000005	1.086663	1.299664	73.814528	68.606000	
0.000005	1.083321	1.356161	73.842551	67.274000	
0.000005	1.081541	1.367377	73.798515	67.108000	
0.000005	1.081239	1.293803	73.972658	68.628000	
0.000005	1.079259	1.365423	73.838548	67.168000	
0.000005	1.073253	1.279115	74.004684	68.910000	
0.000005	1.074012	1.283191	73.992674	68.874000	
0.000005	1.079195	1.287566	73.848556	68.642000	
0.000005	1.084915	1.289086	73.868572	68.812000	
0.000005	1.079240	1.284221	74.192838	68.906000	
0.000005	1.066465	1.279640	74.441042	69.106000	
0.000005	1.071656	1.246309	74.200845	69.698000	
0.000005	1.081779	1.238810	73.856562	69.924000	
0.000005	1.071099	1.270386	74.238876	69.096000	
0.000005	1.062689	1.240714	74.282912	69.854000	
0.000005	1.068113	1.248530	74.084749	69.772000	
0.000005	1.065474	1.234753	74.204848	70.002000	
0.000005	1.058192	1.331347	74.322945	67.978000	
0.000005	1.068016	1.231116	74.230869	70.112000	
0.000005	1.062365	1.248366	74.342961	69.808000	
0.000005	1.077099	1.211334	73.744470	70.478000	
0.000005	1.070991	1.216637	74.393002	70.448000	
0.000005	1.074632	1.208901	74.112772	70.598000	
0.000005	1.076201	1.217376	74.010689	70.430000	
0.000005	1.065324	1.208248	74.312937	70.594000	
0.000005	1.063406	1.215963	74.370984	70.356000	
0.000005	1.077306	1.210462	74.204848	70.484000	
0.000005	1.062756	1.210610	74.435037	70.506000	
0.000005	1.058269	1.209954	74.388999	70.630000	
0.000005	1.062921	1.209975	74.218859	70.664000	
0.000004	1.074590	1.203903	74.096759	70.726000	
0.000004	1.062652	1.200708	74.447047	70.708000	
0.000004	1.065469	1.201708	74.505094	70.742000	
0.000004	1.060212	1.211033	74.667227	70.638000	
0.000004	1.066413	1.195537	74.192838	70.828000	
0.000004	1.065460	1.209933	74.318942	70.760000	
0.000004	1.064293	1.200278	74.395004	70.658000	
0.000004	1.059415	1.199787	74.403010	70.820000	
0.000004	1.062908	1.194283	74.264897	70.826000	
0.000004	1.055550	1.201507	74.459056	70.740000	
0.000004	1.048982	1.202615	74.627194	70.818000	
0.000004	1.062439	1.199059	74.314938	70.856000	
0.000004	1.061251	1.203329	74.489081	70.782000	
0.000004	1.058399	1.196219	74.350968	70.760000	
0.000004	1.039044	1.201139	74.781321	70.630000	
0.000004	1.061844	1.198108	74.314938	70.866000	
0.000004	1.052287	1.194306	74.735283	70.900000	
0.000004	1.052352	1.204108	74.497088	70.780000	
0.000004	1.045768	1.200659	74.641206	70.736000	
0.000004	1.048782	1.198646	74.609180	70.862000	
0.000004	1.063246	1.192756	74.521107	70.916000	
0.000004	1.051838	1.195150	74.439040	70.984000	
0.000004	1.052033	1.194960	74.429032	70.854000	
0.000004	1.051109	1.190974	74.449048	71.118000	
0.000004	1.047312	1.186720	74.603175	71.158000	
0.000003	1.036134	1.193082	75.021518	71.178000	
0.000003	1.053682	1.197610	74.457055	70.976000	
0.000003	1.056275	1.192899	74.565143	71.026000	
0.000003	1.049872	1.190552	74.543125	71.082000	
0.000003	1.043015	1.190117	74.903421	71.094000	
0.000003	1.047925	1.186796	74.631198	71.124000	
0.000003	1.037205	1.189932	74.857383	71.132000	
0.000003	1.045630	1.188235	74.417022	71.110000	
0.000003	1.049422	1.187107	74.555135	71.106000	
0.000003	1.041003	1.192073	74.819352	71.172000	
0.000003	1.036644	1.189091	74.797334	71.248000	
0.000003	1.045402	1.188855	74.745291	71.216000	
0.000003	1.040504	1.185910	74.777317	71.210000	
0.000003	1.041460	1.190268	74.729278	71.218000	
0.000003	1.046812	1.187584	74.667227	71.148000	
0.000003	1.034168	1.185882	74.937449	71.258000	
0.000003	1.030090	1.190237	74.969475	71.124000	
0.000003	1.043411	1.188431	74.631198	71.196000	
0.000003	1.036320	1.193106	74.833363	71.138000	
0.000003	1.035526	1.189547	75.025521	71.054000	
0.000002	1.033178	1.188469	74.925439	71.216000	
0.000002	1.039648	1.189694	74.877399	70.968000	
0.000002	1.035911	1.188699	74.979483	71.126000	
0.000002	1.032611	1.187799	75.133610	71.108000	
0.000002	1.038680	1.190943	74.917432	71.164000	
0.000002	1.025354	1.192976	75.011509	71.152000	
0.000002	1.026453	1.187579	75.083569	71.178000	
0.000002	1.034575	1.197367	75.059549	71.058000	
0.000002	1.023581	1.192391	75.017514	71.150000	
0.000002	1.029808	1.185951	75.011509	71.190000	
0.000002	1.019770	1.192150	75.295743	71.190000	
0.000002	1.031106	1.191524	74.941452	71.170000	
0.000002	1.027514	1.190447	75.243700	71.058000	
0.000002	1.030747	1.191123	74.837367	71.232000	
0.000002	1.028262	1.189004	75.121600	71.266000	
0.000002	1.021479	1.190220	75.271723	71.172000	
0.000002	1.030865	1.188640	74.985488	71.122000	
0.000002	1.036146	1.191691	75.133610	71.112000	
0.000002	1.016226	1.187780	75.349787	71.226000	
0.000001	1.020978	1.191993	75.387818	71.128000	
0.000001	1.032586	1.192075	74.951460	71.232000	
0.000001	1.025115	1.192699	75.317761	71.162000	
0.000001	1.020651	1.192150	75.259713	71.124000	
0.000001	1.031060	1.192661	74.911427	71.212000	
0.000001	1.019857	1.193233	75.255710	71.204000	
0.000001	1.020041	1.191765	75.351788	71.092000	
0.000001	1.023491	1.188241	75.217678	71.162000	
0.000001	1.028509	1.191731	75.177646	71.238000	
0.000001	1.027525	1.188795	75.011509	71.200000	
0.000001	1.020035	1.189544	75.241698	71.252000	
0.000001	1.019903	1.193963	75.307752	71.154000	
0.000001	1.021203	1.189917	75.373807	71.256000	
0.000001	1.016665	1.190174	75.507916	71.164000	
0.000001	1.015882	1.192919	75.233692	71.278000	
0.000001	1.016806	1.191240	75.453872	71.176000	
0.000001	1.005681	1.194141	75.728097	71.182000	
